,optim_,prev,enhance_rate:%,len_d,attribute,len_Cx,len_C
108,0.23076923076923078,0.09321175278622088,248.0,0,"[0.0, 7.0, 8.0]",1,3
109,0.19827586206896552,0.08013937282229965,247.00000000000003,0,"[7.0, 8.0, 21.0]",3,5
110,0.24786324786324787,0.10087719298245613,246.0,0,"[0.0, 10.0, 21.0]",4,6
111,0.27238805970149255,0.11179173047473201,244.0,0,"[0.0, 1.0, 12.0]",2,4
112,0.3008849557522124,0.12398921832884097,243.00000000000003,0,"[0.0, 19.0, 21.0]",2,4
113,0.28125,0.11616161616161616,242.0,0,"[13.0, 19.0, 20.0]",2,4
114,0.2631578947368421,0.10900473933649289,241.0,0,"[0.0, 20.0, 21.0]",5,10
115,0.22291021671826625,0.09269521410579346,240.0,0,"[0.0, 9.0, 16.0]",3,9
116,0.2260596546310832,0.09443161406209905,239.0,0,"[0.0, 6.0, 9.0]",3,9
117,0.22429906542056074,0.09431060994361866,238.0,0,"[0.0, 9.0, 17.0]",3,9
118,0.16363636363636364,0.06917293233082707,237.0,0,"[0.0, 12.0, 16.0]",1,3
119,0.425,0.1803921568627451,236.0,0,"[4.0, 5.0, 16.0]",2,3
120,0.2692307692307692,0.11457036114570361,235.0,0,"[0.0, 5.0, 9.0]",7,11
121,0.19047619047619047,0.08141592920353982,234.0,0,"[3.0, 4.0, 18.0]",2,6
122,0.22950819672131148,0.09850107066381156,233.0,0,"[0.0, 9.0, 18.0]",4,9
123,0.27238805970149255,0.11717495987158909,231.99999999999997,0,"[0.0, 1.0, 13.0]",2,4
124,0.2736842105263158,0.11870967741935484,231.0,0,"[0.0, 3.0, 12.0]",6,9
125,0.3422459893048128,0.1489795918367347,229.99999999999997,0,"[4.0, 13.0, 21.0]",2,3
126,0.1588785046728972,0.0693815987933635,229.0,0,"[4.0, 6.0, 21.0]",1,4
127,0.16363636363636364,0.0717628705148206,227.99999999999997,0,"[0.0, 6.0, 12.0]",1,3
128,0.3135593220338983,0.13793103448275862,227.0,0,"[0.0, 9.0, 12.0]",9,12
129,0.34,0.15057283142389524,225.99999999999997,0,"[0.0, 9.0, 14.0]",5,9
130,0.20930232558139536,0.0931174089068826,225.0,0,"[2.0, 9.0, 18.0]",5,13
131,0.28125,0.12568306010928962,224.00000000000003,0,"[2.0, 14.0, 20.0]",1,7
132,0.2736842105263158,0.12250332889480692,223.0,0,"[0.0, 3.0, 13.0]",6,9
133,0.29310344827586204,0.13218390804597702,222.00000000000003,0,"[0.0, 5.0, 14.0]",2,3
